Requirement,Cost,Benefit
R1871,87,60
R1872,1,7
R1873,51,70
R1874,53,95
R1875,44,52
R1876,34,15
R1877,20,40
R1878,94,34
R1879,65,76
R1880,93,38
R1881,52,73
R1882,84,23
R1883,29,12
R1884,55,82
R1885,68,12
R1886,11,13
R1887,67,83
R1888,24,7
R1889,27,20
R1890,80,36
R1891,86,87
R1892,11,14
R1893,65,12
R1894,29,64
R1895,46,24
R1896,74,93
R1897,93,25
R1898,7,0
R1899,36,26
R1900,47,67
R1901,91,81
R1902,95,100
R1903,52,87
R1904,25,26
R1905,14,88
R1906,68,69
R1907,40,33
R1908,29,60
R1909,39,22
R1910,61,5
R1911,10,24
R1912,53,93
R1913,0,48
R1914,75,45
R1915,27,22
R1916,39,78
R1917,67,70
R1918,51,35
R1919,80,84
R1920,63,28
R1921,29,42
R1922,40,37
R1923,26,7
R1924,30,68
R1925,51,46
R1926,41,92
R1927,79,43
R1928,46,62
R1929,49,73
R1930,74,17
R1931,55,67
R1932,10,57
R1933,92,51
R1934,39,8
R1935,90,88
R1936,83,60
R1937,57,57
R1938,85,39
R1939,20,9
R1940,69,55
R1941,14,83
R1942,48,52
R1943,40,25
R1944,78,17
R1945,84,53
R1946,16,13
R1947,5,34
R1948,98,84
R1949,56,66
R1950,2,75
R1951,87,27
R1952,94,47
R1953,53,22
R1954,47,23
R1955,23,36
R1956,51,39
R1957,17,42
R1958,1,77
R1959,81,1
R1960,93,94
R1961,90,28
R1962,10,83
R1963,30,26
R1964,14,20
R1965,26,2
R1966,100,76
R1967,74,3
R1968,18,77
R1969,1,75
R1970,43,43
R1971,74,65
R1972,39,76
R1973,64,25
R1974,53,16
R1975,38,15
R1976,72,35
R1977,4,1
R1978,40,69
R1979,79,69
R1980,7,18
R1981,23,62
R1982,29,36
R1983,74,100
R1984,66,93
R1985,73,51
R1986,36,63
R1987,28,31
R1988,10,13
R1989,24,13
R1990,59,6
R1991,36,21
R1992,25,68
R1993,85,23
R1994,77,23
R1995,54,42
R1996,12,35
R1997,60,53
R1998,97,32
R1999,22,0
R2000,75,40
R2001,5,66
R2002,14,56
R2003,99,62
R2004,21,86
R2005,56,55
R2006,87,75
R2007,77,19
R2008,87,35
R2009,91,62
R2010,9,38
R2011,51,43
R2012,55,12
R2013,18,43
R2014,74,42
R2015,8,4
R2016,88,91
R2017,80,11
R2018,28,85
R2019,48,81
R2020,52,51
R2021,96,23
R2022,6,31
R2023,89,37
R2024,86,86
R2025,58,55
R2026,27,50
R2027,47,98
R2028,7,29
R2029,80,6
R2030,68,93
R2031,69,45
R2032,23,18
R2033,23,77
R2034,59,75
R2035,71,66
R2036,96,79
R2037,62,69
R2038,21,74
R2039,55,19
R2040,29,55
R2041,50,69
R2042,26,64
R2043,37,90
R2044,97,89
R2045,68,62
R2046,19,37
R2047,10,27
R2048,16,19
R2049,35,59
R2050,52,5
R2051,43,10
R2052,61,43
R2053,28,51
R2054,100,18
R2055,76,48
R2056,87,32
R2057,1,80
R2058,77,88
R2059,88,49
R2060,1,42
R2061,74,72
R2062,33,44
R2063,68,18
R2064,56,87
R2065,16,26
R2066,77,26
R2067,53,71
R2068,12,60
R2069,35,27
R2070,33,28
R2071,32,91
R2072,45,91
R2073,77,29
R2074,96,12
R2075,45,28
R2076,68,80
R2077,57,71
R2078,50,62
R2079,51,53
R2080,18,92
R2081,46,45
R2082,89,86
R2083,34,16
R2084,66,2
R2085,43,18
R2086,19,22
R2087,94,29
R2088,50,96
R2089,48,33
R2090,31,72
R2091,18,87
R2092,74,23
R2093,72,14
R2094,10,60
R2095,56,49
R2096,74,56
R2097,96,83
R2098,82,62
R2099,10,39
R2100,82,65
R2101,20,35
R2102,36,0
R2103,56,91
R2104,75,25
R2105,26,95
R2106,80,83
R2107,86,42
R2108,58,93
R2109,29,58
R2110,95,74
R2111,9,47
R2112,47,27
R2113,99,79
R2114,43,2
R2115,47,89
R2116,20,66
R2117,47,78
R2118,77,85
R2119,88,97
R2120,3,49
R2121,9,10
R2122,41,98
R2123,83,4
R2124,84,39
R2125,47,28
R2126,56,34
R2127,68,33
R2128,58,86
R2129,48,98
R2130,2,57
R2131,11,7
R2132,22,25
R2133,46,0
R2134,73,49
R2135,10,72
R2136,18,62
R2137,12,13
R2138,51,70
R2139,36,61
R2140,10,75
R2141,14,23
R2142,65,64
R2143,22,97
R2144,47,82
R2145,56,71
R2146,9,28
R2147,38,92
R2148,18,100
R2149,63,47
R2150,23,56
R2151,56,75
R2152,97,16
R2153,28,36
R2154,10,65
R2155,56,50
R2156,30,86
R2157,35,36
R2158,72,16
R2159,51,25
R2160,42,36
R2161,66,67
R2162,43,52
R2163,48,14
R2164,37,7
R2165,47,53
R2166,28,95
R2167,23,90
R2168,45,32
R2169,91,83
R2170,29,54
R2171,0,88
R2172,42,62
R2173,17,33
R2174,24,32
R2175,21,32
R2176,20,75
R2177,39,76
R2178,56,18
R2179,21,9
R2180,32,56
R2181,8,84
R2182,38,44
R2183,67,42
R2184,81,39
R2185,35,90
R2186,31,12
R2187,33,48
R2188,35,85
R2189,18,9
R2190,96,61
R2191,99,9
R2192,69,29
R2193,54,17
R2194,67,63
R2195,64,53
R2196,82,54
R2197,12,99
R2198,6,17
R2199,3,33
R2200,74,74
R2201,38,57
R2202,12,11
R2203,22,34
R2204,61,26
R2205,59,81
R2206,38,26
R2207,68,89
R2208,45,65
R2209,40,50
R2210,5,34
R2211,74,40
R2212,73,93
R2213,79,37
R2214,24,90
R2215,42,45
R2216,47,97
R2217,47,33
R2218,49,75
R2219,67,59
R2220,93,9
R2221,34,56
R2222,84,9
R2223,8,31
R2224,73,46
R2225,40,81
R2226,67,85
R2227,20,18
R2228,21,15
R2229,90,82
R2230,95,8
R2231,62,16
R2232,100,34
R2233,58,79
R2234,71,93
R2235,26,27
R2236,3,46
R2237,51,53
R2238,59,26
R2239,4,82
R2240,60,26
R2241,22,50
R2242,75,56
R2243,87,89
R2244,13,48
R2245,71,40
R2246,11,26
R2247,20,100
R2248,52,15
R2249,78,82
R2250,11,39
R2251,45,22
R2252,98,31
R2253,37,54
R2254,25,28
R2255,75,25
R2256,62,78
R2257,70,29
R2258,5,43
R2259,38,38
R2260,81,67
R2261,80,21
R2262,58,78
R2263,33,88
R2264,52,56
R2265,42,7
R2266,57,13
R2267,19,97
R2268,65,29
R2269,14,11
R2270,29,33
R2271,43,43
R2272,99,11
R2273,80,74
R2274,72,85
R2275,16,18
R2276,66,76
R2277,89,13
R2278,70,10
R2279,98,51
R2280,71,10
R2281,87,46
R2282,79,83
R2283,84,99
R2284,79,63
R2285,60,87
R2286,7,4
R2287,26,98
R2288,79,36
R2289,32,36
R2290,39,11
R2291,19,9
R2292,52,61
R2293,94,64
R2294,17,62
R2295,12,78
R2296,82,65
R2297,93,95
R2298,17,15
R2299,45,99
R2300,60,7
R2301,45,43
R2302,45,7
R2303,30,23
R2304,87,9
R2305,89,33
R2306,45,71
R2307,49,54
R2308,18,67
R2309,14,30
R2310,24,30
R2311,70,61
R2312,43,8
R2313,67,60
R2314,98,13
R2315,76,65
R2316,47,53
R2317,59,2
R2318,11,34
R2319,29,4
R2320,99,89
R2321,73,96
R2322,100,89
R2323,36,9
R2324,28,97
R2325,35,62
R2326,29,80
R2327,93,57
R2328,62,73
R2329,63,35
R2330,88,76
R2331,72,56
R2332,99,5
R2333,12,26
R2334,49,74
R2335,85,71
R2336,1,89
R2337,57,87
R2338,1,36
R2339,43,47
R2340,68,76
R2341,59,50
R2342,94,82
R2343,59,84
R2344,79,9
R2345,88,100
R2346,24,90
R2347,11,38
R2348,73,49
R2349,88,57
R2350,57,32
R2351,86,44
R2352,77,87
R2353,99,95
R2354,3,30
R2355,70,49
R2356,62,47
R2357,99,15
R2358,14,20
R2359,19,96
R2360,90,51
R2361,66,58
R2362,15,83
R2363,23,56
R2364,64,52
R2365,37,21
R2366,40,44
R2367,87,87
R2368,47,43
R2369,49,28
R2370,79,81
R2371,3,5
R2372,70,53
R2373,63,27
R2374,82,0
R2375,66,32
R2376,45,95
R2377,54,97
R2378,78,43
R2379,73,20
R2380,91,40
R2381,65,92
R2382,57,43
R2383,13,90
R2384,93,46
R2385,76,54
R2386,20,1
R2387,46,2
R2388,85,84
R2389,3,96
R2390,49,21
R2391,48,43
R2392,79,14
R2393,2,55
R2394,79,30
R2395,58,84
R2396,39,35
R2397,51,66
R2398,13,32
R2399,56,54
R2400,61,53
R2401,89,35
R2402,35,61
R2403,43,5
R2404,55,18
R2405,15,25
R2406,69,85
R2407,89,46
R2408,26,62
R2409,75,76
R2410,54,21
R2411,1,4
R2412,23,1
R2413,97,95
R2414,75,31
R2415,28,71
R2416,50,99
R2417,87,84
R2418,64,2
R2419,98,39
R2420,75,25
R2421,52,75
R2422,51,71
R2423,77,3
R2424,71,46
R2425,47,32
R2426,91,44
R2427,81,32
R2428,33,91
R2429,12,76
R2430,59,66
R2431,60,5
R2432,12,39
R2433,38,39
R2434,43,10
R2435,77,98
R2436,27,22
R2437,45,83
R2438,53,77
R2439,22,1
R2440,2,58
R2441,69,81
R2442,90,86
R2443,82,6
R2444,34,25
R2445,23,63
R2446,23,4
R2447,77,78
R2448,71,19
R2449,44,36
R2450,46,67
R2451,11,77
R2452,30,5
R2453,34,64
R2454,51,65
R2455,54,66
R2456,13,98
R2457,61,47
R2458,96,55
R2459,32,51
R2460,93,14
R2461,54,88
R2462,19,21
R2463,14,9
R2464,56,47
R2465,10,26
R2466,36,30
R2467,25,41
R2468,35,24
R2469,94,5
R2470,55,34
R2471,55,95
R2472,11,68
R2473,13,33
R2474,29,9
R2475,89,83
R2476,7,44
R2477,97,48
R2478,83,94
R2479,97,35
R2480,48,92
R2481,29,18
R2482,45,100
R2483,43,56
R2484,27,69
R2485,76,59
R2486,95,33
R2487,100,91
R2488,57,60
R2489,94,75
R2490,65,47
R2491,65,44
R2492,11,64
R2493,54,18
R2494,64,44
R2495,70,50
R2496,80,53
R2497,72,21
R2498,43,1
R2499,67,64
R2500,84,2
R2501,16,15
R2502,49,33
R2503,92,41
R2504,21,88
R2505,41,72
R2506,73,60
R2507,22,84
R2508,79,81
R2509,42,95
R2510,76,23
R2511,71,55
R2512,48,58
R2513,92,56
R2514,46,66
R2515,77,49
R2516,63,65
R2517,93,30
R2518,95,43
R2519,55,98
R2520,44,88
R2521,49,37
R2522,39,15
R2523,0,64
R2524,94,54
R2525,60,84
R2526,0,71
R2527,93,65
R2528,9,26
R2529,2,42
R2530,85,87
R2531,89,39
R2532,85,95
R2533,74,65
R2534,47,52
R2535,0,71
R2536,39,33
R2537,32,95
R2538,21,74
R2539,36,86
R2540,67,89
R2541,52,74
R2542,36,76
R2543,37,55
R2544,88,29
R2545,36,91
R2546,31,76
R2547,29,19
R2548,41,57
R2549,19,15
R2550,23,75
R2551,62,99
R2552,95,82
R2553,73,83
R2554,7,90
R2555,28,30
R2556,9,40
R2557,10,77
R2558,3,100
R2559,9,3
R2560,4,20
R2561,77,100
R2562,66,27
R2563,85,97
R2564,64,17
R2565,83,96
R2566,10,60
R2567,45,13
R2568,98,69
R2569,97,17
R2570,48,93
R2571,93,26
R2572,22,81
R2573,65,43
R2574,0,44
R2575,93,68
R2576,18,89
R2577,37,94
R2578,63,55
R2579,24,72
R2580,29,60
R2581,17,31
R2582,77,9
R2583,27,0
R2584,79,98
R2585,57,92
R2586,99,47
R2587,87,35
R2588,9,36
R2589,46,35
R2590,71,29
R2591,100,23
R2592,49,88
R2593,80,98
R2594,17,28
R2595,30,22
R2596,48,85
R2597,26,74
R2598,90,50
R2599,54,76
R2600,86,23
R2601,15,64
R2602,90,24
R2603,38,23
R2604,5,26
R2605,6,57
R2606,30,13
R2607,47,74
R2608,84,84
R2609,48,82
R2610,25,15
R2611,74,34
R2612,89,76
R2613,50,42
R2614,81,87
R2615,46,59
R2616,80,80
R2617,56,50
R2618,47,21
R2619,34,85
R2620,98,42
R2621,12,7
R2622,2,49
R2623,91,26
R2624,64,83
R2625,5,89
R2626,35,37
R2627,93,44
R2628,26,88
R2629,22,66
R2630,84,8
R2631,70,7
R2632,82,44
R2633,42,42
R2634,70,26
R2635,78,23
R2636,56,26
R2637,57,74
R2638,17,28
R2639,54,93
R2640,23,43
R2641,27,49
R2642,59,43
R2643,82,93
R2644,90,41
R2645,11,62
R2646,48,11
R2647,54,97
R2648,90,16
R2649,3,99
R2650,99,29
R2651,84,52
R2652,98,47
R2653,19,32
R2654,10,19
R2655,32,3
R2656,43,98
R2657,85,89
R2658,79,81
R2659,56,55
R2660,62,91
R2661,80,19
R2662,62,4
R2663,67,35
R2664,2,25
R2665,25,84
R2666,69,48
R2667,32,74
R2668,87,25
R2669,5,92
R2670,56,26
R2671,9,35
R2672,46,26
R2673,98,59
R2674,87,14
R2675,28,20
R2676,88,46
R2677,12,39
R2678,91,94
R2679,4,69
R2680,53,25
R2681,8,89
R2682,90,29
R2683,95,98
R2684,39,76
R2685,31,54
R2686,42,50
R2687,80,94
R2688,22,80
R2689,36,14
R2690,89,63
R2691,49,13
R2692,61,60
R2693,51,60
R2694,76,0
R2695,50,40
R2696,82,79
R2697,60,1
R2698,4,0
R2699,26,86
R2700,66,41
R2701,32,36
R2702,67,60
R2703,62,74
R2704,86,85
R2705,92,98
R2706,100,37
R2707,99,64
R2708,55,37
R2709,99,35
R2710,64,73
R2711,32,36
R2712,79,31
R2713,28,20
R2714,79,0
R2715,54,12
R2716,43,3
R2717,74,58
R2718,45,37
R2719,14,6
R2720,96,19
R2721,42,50
R2722,5,81
R2723,85,15
R2724,68,80
R2725,5,55
R2726,26,33
R2727,57,40
R2728,43,13
R2729,95,84
R2730,14,16
R2731,35,88
R2732,100,57
R2733,52,43
R2734,14,71
R2735,2,83
R2736,17,94
R2737,63,51
R2738,58,85
R2739,16,54
R2740,5,82
R2741,83,65
R2742,67,2
R2743,80,18
R2744,36,59
R2745,11,44
R2746,68,13
R2747,49,19
R2748,58,25
R2749,5,30
R2750,40,14
R2751,7,0
R2752,33,49
R2753,21,34
R2754,65,72
R2755,77,79
R2756,20,98
R2757,35,24
R2758,65,40
R2759,40,24
R2760,57,53
R2761,65,32
R2762,49,64
R2763,53,44
R2764,28,1
R2765,8,63
R2766,88,66
R2767,87,57
R2768,72,2
R2769,41,5
R2770,70,52
R2771,52,45
R2772,13,55
R2773,48,93
R2774,99,67
R2775,80,4
R2776,45,64
R2777,52,85
R2778,18,32
R2779,4,98
R2780,58,13
R2781,12,45
R2782,98,43
R2783,68,21
R2784,50,11
R2785,83,7
R2786,6,84
R2787,91,30
R2788,29,53
R2789,41,56
R2790,8,48
R2791,15,80
R2792,99,72
R2793,16,71
R2794,51,30
R2795,54,55
R2796,59,59
R2797,1,95
R2798,63,45
R2799,75,66
R2800,32,45
R2801,97,42
R2802,73,72
R2803,10,70
R2804,86,89
R2805,97,86
R2806,5,10
R2807,100,0
R2808,95,80
R2809,19,20
R2810,56,31
R2811,68,69
R2812,1,45
R2813,62,8
R2814,69,15
R2815,78,65
R2816,70,83
R2817,51,52
R2818,49,4
R2819,9,78
R2820,18,44
R2821,90,34
R2822,20,25
R2823,69,10
R2824,55,91
R2825,23,73
R2826,82,83
R2827,82,23
R2828,13,30
R2829,67,77
R2830,69,88
R2831,5,94
R2832,95,42
R2833,82,20
R2834,24,24
R2835,87,70
R2836,32,72
R2837,100,63
R2838,94,34
R2839,41,20
R2840,81,27
R2841,30,99
R2842,39,79
R2843,96,74
R2844,77,3
R2845,43,96
R2846,3,61
R2847,95,96
R2848,16,50
R2849,2,93
R2850,12,11
R2851,7,78
R2852,78,71
R2853,85,72
R2854,81,55
R2855,12,15
R2856,98,61
R2857,98,13
R2858,92,100
R2859,91,76
R2860,72,62
R2861,50,68
R2862,68,1
R2863,86,40
R2864,53,61
R2865,9,57
R2866,74,98
R2867,5,29
R2868,87,55
R2869,69,31
R2870,25,16
R2871,62,12
R2872,72,45
R2873,89,95
R2874,83,42
R2875,60,35
R2876,76,92
R2877,7,41
R2878,2,35
R2879,71,61
R2880,57,57
R2881,76,45
R2882,54,22
R2883,27,88
R2884,31,18
R2885,68,19
R2886,14,97
R2887,14,87
R2888,7,85
R2889,52,17
R2890,2,19
R2891,53,9
R2892,12,57
R2893,6,87
R2894,66,61
R2895,45,11
R2896,41,100
R2897,79,23
R2898,67,54
R2899,57,53
R2900,58,30
R2901,86,50
R2902,76,88
R2903,30,74
R2904,70,19
R2905,47,73
R2906,0,17
R2907,80,26
R2908,59,84
R2909,63,29
R2910,89,1
R2911,74,99
R2912,8,27
R2913,20,38
R2914,26,60
R2915,73,23
R2916,36,51
R2917,15,14
R2918,79,43
R2919,72,78
R2920,32,42
R2921,93,29
R2922,18,52
R2923,18,98
R2924,34,18
R2925,24,11
R2926,84,31
R2927,44,6
R2928,35,0
R2929,34,45
R2930,97,4
R2931,24,23
R2932,7,84
R2933,21,15
R2934,53,1
R2935,32,23
R2936,53,96
R2937,28,72
R2938,85,19
R2939,48,46
R2940,10,51
R2941,89,39
R2942,2,76
R2943,19,60
R2944,2,62
R2945,62,11
R2946,7,86
R2947,69,23
R2948,63,43
R2949,84,44
R2950,75,73
R2951,84,48
R2952,96,97
R2953,69,71
R2954,60,13
R2955,32,88
R2956,42,13
R2957,4,3
R2958,47,96
R2959,81,19
R2960,10,15
R2961,46,14
R2962,66,86
R2963,99,90
R2964,80,98
R2965,88,47
R2966,36,96
R2967,38,100
R2968,90,88
R2969,69,8
R2970,71,63
R2971,11,34
R2972,19,38
R2973,18,43
R2974,26,62
R2975,9,1
R2976,73,13
R2977,100,54
R2978,37,15
R2979,68,58
R2980,19,94
R2981,20,41
R2982,50,54
R2983,46,44
R2984,100,75
R2985,83,70
R2986,64,82
R2987,86,86
R2988,29,30
R2989,5,20
R2990,38,32
R2991,83,11
R2992,94,0
R2993,82,3
R2994,49,31
R2995,27,79
R2996,26,16
R2997,3,53
R2998,41,74
R2999,61,14
R3000,66,49
R3001,94,77
R3002,54,98
R3003,78,71
R3004,87,65
R3005,42,3
R3006,63,5
R3007,84,30
R3008,100,63
R3009,17,91
R3010,64,33
R3011,100,78
R3012,75,37
R3013,34,32
R3014,97,6
R3015,43,33
R3016,54,83
R3017,86,31
R3018,26,22
R3019,81,77
R3020,38,28
R3021,37,60
R3022,42,85
R3023,90,70
R3024,40,35
R3025,36,65
R3026,73,88
R3027,6,62
R3028,27,66
R3029,30,29
R3030,14,23
R3031,5,7
R3032,43,92
R3033,73,77
R3034,83,44
R3035,85,1
R3036,58,57
R3037,65,94
R3038,10,15
R3039,36,72
R3040,53,15
R3041,72,58
R3042,1,28
R3043,23,1
R3044,3,79
R3045,83,79
R3046,69,99
R3047,21,67
R3048,27,42
R3049,6,44
R3050,92,24
R3051,61,24
R3052,96,45
R3053,89,55
R3054,78,27
R3055,0,54
R3056,66,66
R3057,24,59
R3058,97,100
R3059,85,57
R3060,27,32
R3061,86,81
R3062,12,10
R3063,47,79
R3064,44,2
R3065,12,30
R3066,53,79
R3067,88,59
R3068,10,27
R3069,61,36
R3070,94,68
R3071,90,39
R3072,55,58
R3073,14,86
R3074,88,24
R3075,25,55
R3076,55,48
R3077,61,16
R3078,62,55
R3079,33,96
R3080,96,53
R3081,100,10
R3082,47,3
R3083,31,2
R3084,25,58
R3085,74,99
R3086,96,84
R3087,44,5
R3088,9,7
R3089,61,5
R3090,71,55
R3091,4,39
R3092,7,40
R3093,68,34
R3094,13,13
R3095,28,23
R3096,56,23
R3097,66,15
R3098,15,16
R3099,43,65
R3100,34,61
R3101,19,83
R3102,80,45
R3103,24,80
R3104,97,41
R3105,99,20
R3106,62,28
R3107,94,70
R3108,87,92
R3109,41,40
R3110,85,68
R3111,28,83
R3112,74,15
R3113,84,32
R3114,19,67
R3115,3,53
R3116,60,82
R3117,39,26
R3118,21,9
R3119,36,84
R3120,81,1
R3121,99,27
R3122,41,14
R3123,51,95
R3124,3,6
R3125,15,11
R3126,13,37
R3127,53,91
R3128,30,15
R3129,72,77
R3130,28,14
R3131,51,7
R3132,39,44
R3133,79,29
R3134,70,93
R3135,4,61
R3136,57,46
R3137,82,50
R3138,36,50
R3139,61,9
R3140,81,75
R3141,5,27
R3142,18,60
R3143,76,73
R3144,49,37
R3145,48,23
R3146,26,58
R3147,30,63
R3148,12,10
R3149,64,89
R3150,77,58
R3151,66,22
R3152,38,41
R3153,92,15
R3154,87,33
R3155,88,84
R3156,65,72
R3157,11,88
R3158,51,28
R3159,35,93
R3160,8,80
R3161,13,7
R3162,40,38
R3163,51,26
R3164,88,66
R3165,21,81
R3166,27,100
R3167,24,2
R3168,75,92
R3169,22,87
R3170,94,32
R3171,65,47
R3172,92,20
R3173,44,10
R3174,73,75
R3175,79,83
R3176,63,79
R3177,70,46
R3178,24,0
R3179,3,72
R3180,67,95
R3181,49,51
R3182,71,48
R3183,74,43
R3184,21,38
R3185,53,93
R3186,41,16
R3187,7,5
R3188,54,40
R3189,38,86
R3190,60,40
R3191,77,49
R3192,69,81
R3193,43,70
R3194,64,15
R3195,17,34
R3196,14,31
R3197,62,19
R3198,83,78
R3199,12,43
R3200,76,49
R3201,26,71
R3202,6,14
R3203,75,13
R3204,18,66
R3205,100,11
R3206,98,93
R3207,9,56
R3208,91,76
R3209,36,39
R3210,39,71
R3211,75,2
R3212,63,7
R3213,31,50
R3214,66,19
R3215,88,39
R3216,13,70
R3217,37,33
R3218,11,21
R3219,97,17
R3220,85,19
R3221,87,18
R3222,38,64
R3223,95,13
R3224,2,15
R3225,92,70
R3226,39,18
R3227,71,92
R3228,45,77
R3229,56,79
R3230,85,60
R3231,2,25
R3232,96,26
R3233,62,100
R3234,20,23
R3235,64,21
R3236,63,82
R3237,45,69
R3238,16,3
R3239,9,6
R3240,46,62
R3241,49,42
R3242,32,55
R3243,28,11
R3244,44,66
R3245,27,5
R3246,62,40
R3247,85,99
R3248,58,29
R3249,8,34
R3250,22,25
R3251,66,14
R3252,14,53
R3253,64,93
R3254,20,79
R3255,90,70
R3256,78,16
R3257,7,55
R3258,60,32
R3259,88,9
R3260,65,39
R3261,2,4
R3262,85,97
R3263,51,9
R3264,59,41
R3265,26,55
R3266,88,45
R3267,93,29
R3268,56,47
R3269,19,87
R3270,28,68
R3271,36,24
R3272,74,15
R3273,92,1
R3274,16,64
R3275,23,78
R3276,21,15
R3277,61,1
R3278,3,15
R3279,37,38
R3280,30,48
R3281,77,88
R3282,46,51
R3283,26,62
R3284,91,74
R3285,21,79
R3286,98,62
R3287,19,40
R3288,29,41
R3289,17,42
R3290,52,58
R3291,67,6
R3292,85,81
R3293,8,73
R3294,73,63
R3295,20,12
R3296,55,86
R3297,70,14
R3298,67,34
R3299,28,87
R3300,100,84
R3301,88,42
R3302,55,49
R3303,87,93
R3304,4,29
R3305,56,12
R3306,100,50
R3307,54,67
R3308,4,36
R3309,92,77
R3310,17,50
R3311,0,81
R3312,48,75
R3313,50,40
R3314,64,83
R3315,44,63
R3316,96,48
R3317,12,57
R3318,34,93
R3319,48,30
R3320,77,58
R3321,46,61
R3322,50,97
R3323,18,29
R3324,100,81
R3325,4,35
R3326,8,45
R3327,54,32
R3328,99,47
R3329,53,56
R3330,41,36
R3331,8,43
R3332,71,84
R3333,52,92
R3334,89,18
R3335,58,18
R3336,65,5
R3337,90,46
R3338,24,68
R3339,69,65
R3340,85,39
R3341,94,53
R3342,36,66
R3343,72,100
R3344,86,8
R3345,49,78
R3346,50,69
R3347,29,39
R3348,43,54
R3349,36,3
R3350,44,82
R3351,41,23
R3352,29,85
R3353,32,36
R3354,94,99
R3355,82,61
R3356,32,43
R3357,59,53
R3358,80,0
R3359,72,76
R3360,16,24
R3361,19,23
R3362,67,48
R3363,49,81
R3364,54,56
R3365,35,90
R3366,31,34
R3367,83,1
R3368,47,80
R3369,3,2
R3370,93,5
R3371,49,0
R3372,44,63
R3373,61,82
R3374,88,54
R3375,91,19
R3376,69,56
R3377,49,32
R3378,45,29
R3379,8,45
R3380,41,71
R3381,45,57
R3382,56,86
R3383,29,4
R3384,55,92
R3385,29,48
R3386,84,68
R3387,65,20
R3388,78,66
R3389,12,62
R3390,81,54
R3391,60,66
R3392,64,0
R3393,30,50
R3394,80,93
R3395,21,4
R3396,92,5
R3397,8,77
R3398,85,39
R3399,85,42
R3400,39,26
R3401,41,91
R3402,51,68
R3403,45,24
R3404,96,49
R3405,79,52
R3406,33,43
R3407,20,3
R3408,9,58
R3409,41,58
R3410,93,42
R3411,27,40
R3412,37,37
R3413,73,88
R3414,2,88
R3415,54,42
R3416,98,21
R3417,100,92
R3418,0,96
R3419,78,90
R3420,64,3
R3421,72,21
R3422,83,43
R3423,21,81
R3424,65,71
R3425,63,4
R3426,54,89
R3427,11,56
R3428,65,70
R3429,56,88
R3430,10,49
R3431,17,97
R3432,42,38
R3433,35,32
R3434,3,18
R3435,40,82
R3436,39,86
R3437,8,22
R3438,6,26
R3439,63,10
R3440,13,57
R3441,89,49
R3442,29,91
R3443,78,46
R3444,98,1
R3445,89,11
R3446,40,33
R3447,44,96
R3448,69,43
R3449,40,98
R3450,75,11
R3451,88,35
R3452,42,87
R3453,99,60
R3454,3,31
R3455,16,17
R3456,68,5
R3457,56,98
R3458,93,80
R3459,47,93
R3460,64,73
R3461,54,19
R3462,36,37
R3463,76,31
R3464,82,14
R3465,21,20
R3466,16,51
R3467,67,43
R3468,81,7
R3469,37,77
R3470,4,86
R3471,25,100
R3472,1,41
R3473,44,63
R3474,68,42
R3475,14,0
R3476,3,53
R3477,80,78
R3478,88,20
R3479,85,78
R3480,45,95
R3481,56,30
R3482,17,35
R3483,38,78
R3484,1,67
R3485,17,45
R3486,57,72
R3487,88,11
R3488,12,22
R3489,25,12
R3490,5,55
R3491,37,47
R3492,88,46
R3493,52,88
R3494,28,34
R3495,24,3
R3496,48,19
R3497,84,13
R3498,38,9
R3499,23,56
R3500,46,50
R3501,88,39
R3502,5,72
R3503,45,95
R3504,95,98
R3505,52,65
R3506,77,44
R3507,0,72
R3508,81,25
R3509,54,34
R3510,58,26
R3511,72,78
R3512,8,45
R3513,1,64
R3514,82,10
R3515,24,31
R3516,77,86
R3517,55,78
R3518,39,6
R3519,57,17
R3520,31,33
R3521,62,93
R3522,84,95
R3523,88,56
R3524,22,34
R3525,99,14
R3526,55,3
R3527,49,58
R3528,19,59
R3529,55,6
R3530,94,14
R3531,6,99
R3532,44,34
R3533,12,84
R3534,13,6
R3535,48,79
R3536,93,68
R3537,15,92
R3538,43,51
R3539,2,62
R3540,9,10
R3541,72,26
R3542,87,9
R3543,1,12
R3544,31,21
R3545,40,69
R3546,6,75
R3547,18,96
R3548,79,36
R3549,100,78
R3550,30,71
R3551,5,46
R3552,30,71
R3553,93,60
R3554,58,72
R3555,21,40
R3556,30,1
R3557,45,66
R3558,72,55
R3559,70,58
R3560,50,87
R3561,68,6
R3562,22,31
R3563,73,79
R3564,0,6
R3565,90,96
R3566,93,13
R3567,87,14
R3568,5,58
R3569,84,49
R3570,99,38
R3571,93,62
R3572,38,48
R3573,33,52
R3574,77,87
R3575,6,95
R3576,96,26
R3577,65,63
R3578,94,9
R3579,0,36
R3580,50,84
R3581,86,28
R3582,59,46
R3583,41,57
R3584,13,48
R3585,1,16
R3586,93,16
R3587,42,80
R3588,80,21
R3589,86,58
R3590,32,97
R3591,16,67
R3592,16,64
R3593,11,59
R3594,19,46
R3595,64,34
R3596,71,0
R3597,33,31
R3598,27,74
R3599,11,11
R3600,13,6
R3601,100,93
R3602,73,11
R3603,24,48
R3604,50,58
R3605,22,74
R3606,77,21
R3607,91,2
R3608,31,79
R3609,80,49
R3610,3,57
R3611,7,1
R3612,46,6
R3613,76,46
R3614,61,24
R3615,40,54
R3616,77,1
R3617,36,77
R3618,26,34
